"cnt.Var1" "cnt.Freq"
"91" "男子" "285"
"119" "调查" "218"
"122" "警察" "215"
"123" "电话" "214"
"124" "东西" "212"
"132" "回答" "195"
"133" "发现" "195"
"138" "工作" "189"
"150" "公司" "173"
"156" "声音" "167"
"164" "好像" "162"
"166" "时间" "161"
"177" "房间" "152"
"189" "照片" "137"
"190" "有人" "137"
"193" "告诉" "137"
"196" "母亲" "134"
"201" "打开" "130"
"203" "露出" "129"
"206" "感觉" "128"
"207" "眼睛" "126"
"212" "点头" "123"
"217" "女人" "121"
"219" "放在" "121"
"222" "离开" "119"
"233" "地方" "113"
"234" "表情" "113"
"235" "小姐" "112"
"236" "女子" "112"
"238" "公寓" "112"
"245" "感到" "109"
"256" "发生" " 99"
"257" "明白" " 98"
"262" "朋友" " 96"
"264" "电脑" " 96"
"270" "事情" " 94"
"273" "听说" " 93"
"277" "回来" " 91"
"278" "古贺" " 91"
"279" "点点" " 91"
"280" "大阪" " 91"
"283" "两个" " 90"
"285" "再度" " 89"
"286" "也许" " 89"
"290" "女孩" " 87"
"294" "实在" " 85"
"295" "那种" " 85"
"302" "客人" " 82"
"304" "大学" " 82"
"307" "年轻" " 81"
"309" "笑容" " 80"
"315" "听到" " 78"
"316" "确认" " 78"
"327" "担心" " 76"
"333" "证明" " 73"
"337" "身上" " 72"
"338" "咖啡" " 72"
"339" "关系" " 72"
"340" "打电话" " 72"
"341" "程序" " 72"
"344" "当铺" " 71"
"347" "喜欢" " 70"
"355" "想起" " 69"
"356" "结婚" " 69"
"358" "衣服" " 68"
"361" "高尔夫球" " 68"
"366" "怀疑" " 67"
"372" "意外" " 65"
"373" "学生" " 65"
"377" "名字" " 65"
"379" "妈妈" " 65"
"382" "游戏" " 64"
"384" "老师" " 64"
"387" "传来" " 64"
"389" "情况" " 63"
"390" "老板" " 63"
"391" "记得" " 63"
"392" "父亲" " 63"
"394" "不知" " 63"
"395" "银行" " 62"
"397" "学校" " 62"
"406" "问道" " 60"
"408" "请问" " 60"
"409" "男人" " 60"
"412" "原因" " 59"
"414" "系统" " 59"
"416" "男孩" " 59"
"418" "酒店" " 59"
"420" "回到" " 59"
"423" "希望" " 58"
"424" "双手" " 58"
"427" "惊讶" " 57"
"428" "回家" " 57"
"433" "眼神" " 56"
"436" "视线" " 56"
"437" "平常" " 56"
"440" "对不起" " 56"
"447" "来到" " 55"
"453" "微微" " 54"
"455" "尸体" " 54"
"459" "脸上" " 54"
"461" "大楼" " 54"
"464" "想到" " 53"
"466" "奇怪" " 53"
"468" "电视" " 53"
"474" "身边" " 52"
"475" "啤酒" " 52"
"483" "椅子" " 51"
"485" "头发" " 51"
"488" "没什么" " 51"
"489" "麻烦" " 51"
"492" "钥匙" " 50"
"494" "想象" " 50"
"496" "口气" " 50"
"500" "办法" " 50"
"502" "伸手" " 49"
"504" "结束" " 49"
"505" "家里" " 49"
"506" "第一次" " 49"
"508" "自然" " 48"
"509" "找到" " 48"
"510" "摇头" " 48"
"513" "命案" " 48"
"514" "没关系" " 48"
"518" "脚步" " 48"
"521" "孩子" " 48"
"522" "发出" " 48"
"524" "坐下" " 47"
"529" "医院" " 47"
"531" "兴趣" " 47"
"532" "说什么" " 47"
"533" "说话" " 47"
"535" "面前" " 47"
"537" "桌上" " 46"
"542" "没错" " 46"
"544" "东京" " 46"
"547" "样子" " 45"
"549" "那天" " 45"
"554" "资料" " 44"
"566" "摇摇" " 43"
"567" "晚上" " 43"
"568" "同学" " 43"
"569" "听筒" " 43"
"570" "太太" " 43"
"571" "身体" " 43"
"572" "软件" " 43"
"574" "内容" " 43"
"576" "咖啡馆" " 43"
"577" "昨天" " 42"
"580" "一口气" " 42"
"582" "委托" " 42"
"584" "脑海" " 42"
"586" "警方" " 42"
"590" "不好意思" " 42"
"591" "报告" " 42"
"597" "堂兄" " 41"
"599" "社长" " 41"
"604" "真的" " 40"
"606" "口袋" " 40"
"614" "走向" " 39"
"616" "心情" " 39"
"617" "显得" " 39"
"620" "取出" " 39"
"621" "名片" " 39"
"626" "玻璃" " 39"
"628" "中年" " 38"
"629" "这家" " 38"
"633" "去年" " 38"
"634" "目光" " 38"
"637" "股票" " 38"
"641" "不错" " 38"
"643" "印象" " 37"
"645" "谢谢" " 37"
"646" "想法" " 37"
"648" "生活" " 37"
"649" "解释" " 37"
"651" "车站" " 37"
"654" "在场" " 36"
"656" "凶手" " 36"
"657" "小孩" " 36"
"664" "人员" " 36"
"665" "轻轻" " 36"
"667" "开口" " 36"
"669" "见面" " 36"
"670" "回头" " 36"
"674" "本来" " 36"
"676" "白色" " 36"
"677" "之间" " 35"
"678" "侦探" " 35"
"682" "下午" " 35"
"683" "微笑" " 35"
"684" "外套" " 35"
"685" "特别" " 35"
"686" "算是" " 35"
"689" "前往" " 35"
"690" "旁边" " 35"
"691" "男生" " 35"
"692" "明天" " 35"
"693" "眉头" " 35"
"694" "卡带" " 35"
"695" "机会" " 35"
"697" "案子" " 35"
"698" "手上" " 34"
"699" "手表" " 34"
"700" "社交" " 34"
"708" "交往" " 34"
"710" "儿子" " 34"
"711" "多半" " 34"
"714" "状况" " 33"
"715" "早上" " 33"
"716" "仔细" " 33"
"718" "小时" " 33"
"719" "相关" " 33"
"720" "现场" " 33"
"724" "事实上" " 33"
"725" "清华" " 33"
"726" "楼梯" " 33"
"728" "几次" " 33"
"729" "仿佛" " 33"
"731" "本文" " 33"
"737" "社员" " 32"
"739" "开门" " 32"
"743" "技术" " 32"
"749" "打算" " 32"
"750" "厨房" " 32"
"751" "出门" " 32"
"754" "抱歉" " 32"
"755" "嘴角" " 31"
"756" "只不过" " 31"
"758" "一会儿" " 31"
"760" "位于" " 31"
"761" "停下" " 31"
"764" "模样" " 31"
"767" "理由" " 31"
"772" "动作" " 31"
"775" "成田" " 31"
"776" "衬衫" " 31"
"777" "参加" " 31"
"779" "不安" " 31"
"780" "报纸" " 31"
"782" "走廊" " 30"
"783" "专家" " 30"
"785" "直觉" " 30"
"787" "烟灰缸" " 30"
"789" "刑警" " 30"
"790" "星期" " 30"
"792" "四周" " 30"
"793" "室内" " 30"
"794" "事务所" " 30"
"795" "时代" " 30"
"797" "起身" " 30"
"798" "默默" " 30"
"801" "六点" " 30"
"804" "金城" " 30"
"805" "简单" " 30"
"808" "打扰" " 30"
"813" "被害人" " 30"
"814" "报道" " 30"
"819" "犹豫" " 29"
"821" "研究" " 29"
"822" "通风管" " 29"
"823" "数据" " 29"
"825" "身后" " 29"
"826" "社团" " 29"
"828" "全身" " 29"
"829" "妻子" " 29"
"831" "年级" " 29"
"833" "密码" " 29"
"835" "介绍" " 29"
"836" "机器" " 29"
"837" "回想" " 29"
"840" "对面" " 29"
"842" "打火机" " 29"
"843" "沉默" " 29"
"846" "自杀" " 28"
"848" "招呼" " 28"
"849" "丈夫" " 28"
"851" "语气" " 28"
"853" "眼里" " 28"
"854" "想必" " 28"
"857" "适合" " 28"
"860" "七点" " 28"
"863" "练习场" " 28"
"864" "记录" " 28"
"865" "话题" " 28"
"866" "改变" " 28"
"867" "方式" " 28"
"872" "办公室" " 28"
"874" "职员" " 27"
"876" "意义" " 27"
"878" "询问" " 27"
"879" "小学" " 27"
"880" "线索" " 27"
"881" "提起" " 27"
"882" "提出" " 27"
"884" "抬头" " 27"
"885" "说法" " 27"
"888" "碰面" " 27"
"889" "女生" " 27"
"891" "留下" " 27"
"893" "苦笑" " 27"
"895" "客厅" " 27"
"898" "几个" " 27"
"899" "公园" " 27"
"900" "对象" " 27"
"901" "不禁" " 27"
"903" "嘴唇" " 26"
"904" "至少" " 26"
"905" "正好" " 26"
"906" "学长" " 26"
"907" "星期六" " 26"
"908" "小心" " 26"
"909" "消失" " 26"
"910" "危险" " 26"
"911" "外面" " 26"
"912" "随便" " 26"
"915" "请教" " 26"
"916" "墙上" " 26"
"920" "卡片" " 26"
"921" "见到" " 26"
"922" "缓缓" " 26"
"923" "黑色" " 26"
"924" "干吗" " 26"
"928" "店员" " 26"
"930" "当作" " 26"
"933" "右手" " 25"
"936" "星期五" " 25"
"937" "心中" " 25"
"939" "事件" " 25"
"941" "稍微" " 25"
"943" "凝视" " 25"
"944" "目的" " 25"
"947" "距离" " 25"
"948" "精品店" " 25"
"949" "今晚" " 25"
"950" "好几个" " 25"
"952" "放学" " 25"
"953" "房子" " 25"
"954" "答应" " 25"
"958" "只能" " 24"
"959" "证据" " 24"
"960" "整理" " 24"
"961" "早就" " 24"
"962" "运动" " 24"
"964" "眼前" " 24"
"965" "信封" " 24"
"966" "小声" " 24"
"967" "习惯" " 24"
"972" "上课" " 24"
"974" "判断" " 24"
"975" "没事" " 24"
