"Var1" "Freq"
"1" "的" 8288
"2" "是" 4006
"3" "了" 3556
"4" "他" 2668
"5" "不" 2368
"6" "她" 2301
"7" "在" 2141
"8" "我" 2136
"9" "说" 1707
"10" "有" 1419
"11" "你" 1419
"12" "也" 1247
"13" "着" 1233
"14" "就" 1184
"15" "这" 1000
"16" "人" 968
"17" "会" 964
"18" "到" 869
"19" "都" 838
"20" "上" 834
"21" "想" 832
"22" "雪" 826
"23" "穗" 824
"24" "没有" 806
"25" "子" 799
"26" "那" 779
"27" "一" 749
"28" "原" 719
"29" "看" 713
"30" "桐" 702
"31" "和" 700
"32" "什么" 669
"33" "垣" 664
"34" "很" 643
"35" "但" 643
"36" "要" 640
"37" "来" 634
"38" "笹" 632
"39" "彦" 624
"40" "友" 613
"41" "吗" 613
"42" "过" 594
"43" "好" 589
"44" "里" 552
"45" "还" 548
"46" "对" 531
"47" "地" 524
"48" "事" 523
"49" "去" 490
"50" "知道" 483
"51" "枝" 473
"52" "今" 472
"53" "把" 465
"54" "便" 462
"55" "出" 461
"56" "得" 451
"57" "没" 432
"58" "江" 427
"59" "啊" 423
"60" "只" 416
"61" "一个" 410
"62" "从" 407
"63" "吧" 405
"64" "美" 396
"65" "问" 385
"66" "后" 383
"67" "一成" 369
"68" "他们" 355
"69" "起" 352
"70" "才" 352
"71" "时" 346
"72" "下" 344
"73" "这么" 341
"74" "自己" 335
"75" "因为" 332
"76" "让" 331
"77" "真" 327
"78" "这个" 313
"79" "与" 313
"80" "可以" 313
"81" "这样" 311
"82" "可能" 305
"83" "拿" 304
"84" "诚" 301
"85" "冢" 297
"86" "泽" 297
"87" "怎么" 292
"88" "正" 288
"89" "被" 288
"90" "前" 286
"91" "男子" 285
"92" "利" 279
"93" "却" 277
"94" "头" 273
"95" "大" 273
"96" "做" 270
"97" "筱" 268
"98" "哦" 261
"99" "用" 258
"100" "时候" 255
"101" "话" 252
"102" "走" 251
"103" "唐" 245
"104" "跟" 245
"105" "店" 245
"106" "应该" 243
"107" "又" 239
"108" "晴" 238
"109" "并" 238
"110" "听" 236
"111" "再" 234
"112" "我们" 234
"113" "进" 234
"114" "向" 229
"115" "门" 229
"116" "先生" 226
"117" "为" 224
"118" "这种" 223
"119" "调查" 218
"120" "现在" 217
"121" "中" 215
"122" "警察" 215
"123" "电话" 214
"124" "东西" 212
"125" "找" 209
"126" "似乎" 207
"127" "给" 205
"128" "高" 204
"129" "典" 204
"130" "已经" 202
"131" "太" 195
"132" "回答" 195
"133" "发现" 195
"134" "请" 194
"135" "那个" 192
"136" "像" 190
"137" "能" 189
"138" "工作" 189
"139" "一定" 188
"140" "起来" 186
"141" "家" 185
"142" "不过" 184
"143" "这里" 183
"144" "如果" 183
"145" "个" 183
"146" "雄" 182
"147" "开始" 182
"148" "住" 174
"149" "等" 174
"150" "公司" 173
"151" "看到" 171
"152" "开" 171
"153" "小" 170
"154" "呢" 168
"155" "以" 167
"156" "声音" 167
"157" "您" 166
"158" "站" 165
"159" "一点" 164
"160" "松" 164
"161" "多" 164
"162" "但是" 163
"163" "觉得" 162
"164" "好像" 162
"165" "宫" 162
"166" "时间" 161
"167" "认为" 161
"168" "留" 159
"169" "坐" 157
"170" "吉" 157
